"STATE","Total_Seats","Total_Senate","Senate_Dem","Senate_Rep","Total_House","House_Dem","House_Rep","Leg_Control","Gov_Party","State_Control"
"Alabama",140,35,8,27,105,29,76,"Rep","Rep","Rep"
"Alaska",60,20,9,11,40,13,22,"Rep","Rep","Rep"
"Arizona",90,30,14,16,60,29,31,"Rep","Dem","Divided"
"Arkansas",135,35,6,29,100,18,82,"Rep","Rep","Rep"
"California",120,40,31,9,80,62,17,"Dem","Dem","Dem"
"Colorado",100,35,23,12,65,46,19,"Dem","Dem","Dem"
"Connecticut",187,36,24,12,151,98,53,"Dem","Dem","Dem"
"Delaware",62,21,15,6,41,26,15,"Dem","Dem","Dem"
"Florida",160,40,12,28,120,36,83,"Rep","Rep","Rep"
"Georgia",236,56,23,33,180,78,102,"Rep","Rep","Rep"
"Hawaii",76,25,23,2,51,45,6,"Dem","Dem","Dem"
"Idaho",105,35,7,28,70,11,59,"Rep","Rep","Rep"
"Illinois",177,59,40,19,118,78,40,"Dem","Dem","Dem"
"Indiana",150,50,10,40,100,30,70,"Rep","Rep","Rep"
"Iowa",150,50,16,33,100,36,64,"Rep","Rep","Rep"
"Kansas",165,40,11,29,125,40,85,"Rep","Dem","Divided"
"Kentucky",138,38,7,31,100,20,80,"Rep","Dem","Divided"
"Louisiana",144,39,11,28,105,32,73,"Rep","Rep","Rep"
"Maine",186,35,22,13,151,79,67,"Dem","Dem","Dem"
"Maryland",188,47,34,13,141,102,39,"Dem","Dem","Dem"
"Massachusetts",200,40,36,4,160,132,25,"Dem","Dem","Dem"
"Michigan",148,38,20,18,110,56,54,"Dem","Dem","Dem"
"Minnesota",201,67,33,33,134,68,63,"Divided","Dem","Divided"
"Mississippi",174,52,16,36,122,41,79,"Rep","Rep","Rep"
"Missouri",197,34,7,23,163,51,111,"Rep","Rep","Rep"
"Montana",150,50,16,34,100,32,68,"Rep","Rep","Rep"
"Nebraska",49,49,0,0,0,0,0,"Unicameral","N/A","N/A"
"Nevada",63,21,13,7,42,26,14,"Dem","Rep","Divided"
"New Hampshire",424,24,10,14,400,191,197,"Rep","Rep","Rep"
"New Jersey",120,40,25,15,80,52,28,"Dem","Dem","Dem"
"New Mexico",112,42,27,15,70,45,25,"Dem","Dem","Dem"
"New York",213,63,41,21,150,100,48,"Dem","Dem","Dem"
"North Carolina",170,50,20,30,120,48,72,"Rep","Dem","Divided"
"North Dakota",141,47,4,43,94,12,82,"Rep","Rep","Rep"
"Ohio",132,33,7,26,99,32,67,"Rep","Rep","Rep"
"Oklahoma",149,48,8,40,101,20,81,"Rep","Rep","Rep"
"Oregon",90,30,17,12,60,35,24,"Dem","Dem","Dem"
"Pennsylvania",253,50,22,28,203,102,101,"Divided","Dem","Divided"
"Rhode Island",113,38,32,5,75,65,9,"Dem","Dem","Dem"
"South Carolina",170,46,15,30,124,35,87,"Rep","Rep","Rep"
"South Dakota",105,35,4,31,70,7,63,"Rep","Rep","Rep"
"Tennessee",132,33,6,27,99,24,75,"Rep","Rep","Rep"
"Texas",181,31,12,19,150,63,86,"Rep","Rep","Rep"
"Utah",104,29,6,23,75,14,61,"Rep","Dem","Divided"
"Vermont",180,30,21,7,150,104,37,"Divided","Rep","Dem"
"Virginia",140,40,21,19,100,51,49,"Dem","Dem","Dem"
"Washington",147,49,28,20,98,58,40,"Dem","Dem","Rep"
"West Virginia",134,34,3,31,100,11,89,"Rep","Rep","Divided"
"Wisconsin",132,33,10,22,99,34,64,"Rep","Dem","Divided"
"Wyoming",93,31,2,29,62,5,57,"Rep","Rep","Rep"
